País;Francia;Alemania;Italia;Japón;España;Reino Unido;EEUU;China
2004;26;1034;"30,7";1132;23;"8,2";376;62
2005;33;1926;"37,5";1422;48;"10,9";479;70
2006;"43,9";2759;50;1709;145;"14,3";624;80
2007;"75,2";3836;120;1919;693;"18,1";831;100
2008;180;5340;458;2144;3354;"22,5";1169;140
2009;335;9959;1181;2627;3438;"29,6";1256;300
2010;1197;17193;3502;3618;3915;77;2528;800
2011;2924;24807;12923;4914;4889;904;4383;3300
2012;4033;32462;16450;6632;5221;1901;7272;6800
2013;4733;35766;18074;13599;5340;3377;12079;19720
2014;5660;38200;18460;23300;5358;5104;18280;28199
2015;6580;39700;18920;34410;5400;8780;25620;43530
2016;7130;41220;19279;42750;5490;11630;40300;78080
2017;8000;42000;19700;49000;5600;12700;51000;131000
